"Name","src_domain","tar_domain","tar_acc.max","lr","use_tar_entropy_loss","use_domain_adv","epochs","src_acc","src_acc.max","best_src_acc","best_tar_acc"
"log/CWRU_small2_all_spectrogramtoCWRU_small3_all_spectrogram_lr0.0001_e200_b128","2_all_spectrogram","3_all_spectrogram","0.8772053718566895","0.0001","false","false","200","","1","1",""
"log/CWRU_small1_all_spectrogramtoCWRU_small3_all_spectrogram_lr0.0001_e200_b128","1_all_spectrogram","3_all_spectrogram","0.8849682211875916","0.0001","false","false","200","","1","1",""
"log/CWRU_small0_all_spectrogramtoCWRU_small3_all_spectrogram_lr0.0001_e200_b128","0_all_spectrogram","3_all_spectrogram","0.561044454574585","0.0001","false","false","200","","1","1",""
"log/CWRU_small3_all_spectrogramtoCWRU_small2_all_spectrogram_lr0.0001_e200_b128","3_all_spectrogram","2_all_spectrogram","0.9272084832191468","0.0001","false","false","200","","1","1",""
"log/CWRU_small3_all_spectrogramtoCWRU_small0_all_spectrogram_lr0.0001_e200_b128","3_all_spectrogram","0_all_spectrogram","0.619350254535675","0.0001","false","false","200","","1","1",""
"log/CWRU_small2_all_spectrogramtoCWRU_small0_all_spectrogram_lr0.0001_e200_b128","2_all_spectrogram","0_all_spectrogram","0.6998587846755981","0.0001","false","false","200","","1","1",""
"log/CWRU_small3_all_spectrogramtoCWRU_small1_all_spectrogram_lr0.0001_e200_b128","3_all_spectrogram","1_all_spectrogram","0.8316831588745117","0.0001","false","false","200","","1","1",""
"log/CWRU_small1_all_spectrogramtoCWRU_small2_all_spectrogram_lr0.0001_e200_b128","1_all_spectrogram","2_all_spectrogram","0.9745582938194276","0.0001","false","false","200","","1","1",""
"log/CWRU_small0_all_spectrogramtoCWRU_small2_all_spectrogram_lr0.0001_e200_b128","0_all_spectrogram","2_all_spectrogram","0.605653703212738","0.0001","false","false","200","","1","1",""
"log/CWRU_small2_all_spectrogramtoCWRU_small1_all_spectrogram_lr0.0001_e200_b128","2_all_spectrogram","1_all_spectrogram","0.9045261740684508","0.0001","false","false","200","","1","1",""
"log/CWRU_small1_all_spectrogramtoCWRU_small0_all_spectrogram_lr0.0001_e200_b128","1_all_spectrogram","0_all_spectrogram","0.6638417840003967","0.0001","false","false","200","","1","1",""
"log/CWRU_small0_all_spectrogramtoCWRU_small1_all_spectrogram_lr0.0001_e200_b128","0_all_spectrogram","1_all_spectrogram","0.6612446904182434","0.0001","false","false","200","","1","1",""